TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherName,TeacherAge,TeacherGender,Expertise,YearsOfExperience,TeacherRating,UserName,UserAge,UserGender,Email
TT00001,U00003,CR00016,2025-10-25,0.0,PayPal,TC00040,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,Kimberly Miller,49,Male,Cybersecurity,24,4.58,morrisonamanda,33,Female,ganderson@yahoo.com
TT00002,U00003,CR00037,2025-01-13,0.0,PayPal,TC00040,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,Kimberly Miller,49,Male,Cybersecurity,24,4.58,morrisonamanda,33,Female,ganderson@yahoo.com
TT00003,U00003,CR00019,2025-03-28,0.0,Bank Transfer,TC00040,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,Kimberly Miller,49,Male,Cybersecurity,24,4.58,morrisonamanda,33,Female,ganderson@yahoo.com
TT00004,U00004,CR00048,2025-06-02,0.0,Bank Transfer,TC00040,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,Kimberly Miller,49,Male,Cybersecurity,24,4.58,fthornton,23,Female,christensencatherine@outlook.com
TT00005,U00004,CR00060,2025-08-10,0.0,PayPal,TC00042,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,Yolanda Levine,49,Female,Machine Learning,21,4.97,fthornton,23,Female,christensencatherine@outlook.com
TT00006,U00004,CR00042,2025-10-30,0.0,Credit Card,TC00042,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,Yolanda Levine,49,Female,Machine Learning,21,4.97,fthornton,23,Female,christensencatherine@outlook.com
TT00007,U00004,CR00017,2025-05-09,0.0,Bank Transfer,TC00042,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,Yolanda Levine,49,Female,Machine Learning,21,4.97,fthornton,23,Female,christensencatherine@outlook.com
TT00008,U00004,CR00025,2025-05-07,299.57,Credit Card,TC00040,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,Kimberly Miller,49,Male,Cybersecurity,24,4.58,fthornton,23,Female,christensencatherine@outlook.com
TT00009,U00013,CR00003,2025-10-05,0.0,PayPal,TC00040,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,Kimberly Miller,49,Male,Cybersecurity,24,4.58,cherrykathleen,33,Female,michelewatkins@outlook.com
TT00010,U00013,CR00032,2025-09-29,0.0,Bank Transfer,TC00040,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,Kimberly Miller,49,Male,Cybersecurity,24,4.58,cherrykathleen,33,Female,michelewatkins@outlook.com
